item_id,timestamp,price,quantity,ma_1h,ma_6h,ma_24h,volatility_24h,price_change_1h,target_next_price
1198,2025-11-19 14:52:33,5932200,1,5932200.0,5932200.0,5932200.0,0.0,0.0,5932200.0
1202,2025-11-19 14:52:33,26205700,1,26205700.0,26205700.0,26205700.0,0.0,0.0,26205700.0
1203,2025-11-19 14:52:33,12236500,3,12236500.0,12236500.0,12236500.0,0.0,0.0,12236500.0
1204,2025-11-19 14:52:33,236756700,1,236756700.0,236756700.0,236756700.0,0.0,0.0,236756700.0
1207,2025-11-19 14:52:33,2000000,5,2000000.0,2000000.0,2000000.0,0.0,0.0,2000000.0
1211,2025-11-19 14:52:33,58131500,1,58131500.0,58131500.0,58131500.0,0.0,0.0,58131500.0
1213,2025-11-19 14:52:33,200590200,1,200590200.0,200590200.0,200590200.0,0.0,0.0,200590200.0
1214,2025-11-19 14:52:33,250005800,2,250005800.0,250005800.0,250005800.0,0.0,0.0,250005800.0
1215,2025-11-19 14:52:33,149999900,4,149999900.0,149999900.0,149999900.0,0.0,0.0,149999900.0
1219,2025-11-19 14:52:33,3000000000,1,3000000000.0,3000000000.0,3000000000.0,0.0,0.0,3000000000.0
1220,2025-11-19 14:52:33,992092300,3,992092300.0,992092300.0,992092300.0,0.0,0.0,992092300.0
1263,2025-11-19 14:52:33,90077600,1,90077600.0,90077600.0,90077600.0,0.0,0.0,90077600.0
1265,2025-11-19 14:52:33,50000000,4,50000000.0,50000000.0,50000000.0,0.0,0.0,50000000.0
1296,2025-11-19 14:52:33,59999900,3,59999900.0,59999900.0,59999900.0,0.0,0.0,59999900.0
1297,2025-11-19 14:52:33,6499991400,2,6499991400.0,6499991400.0,6499991400.0,0.0,0.0,6499991400.0
1299,2025-11-19 14:52:33,599999900,1,599999900.0,599999900.0,599999900.0,0.0,0.0,599999900.0
1314,2025-11-19 14:52:33,195765600,5,195765600.0,195765600.0,195765600.0,0.0,0.0,195765600.0
1315,2025-11-19 14:52:33,3999900,3,3999900.0,3999900.0,3999900.0,0.0,0.0,3999900.0
1318,2025-11-19 14:52:33,2415136500,1,2415136500.0,2415136500.0,2415136500.0,0.0,0.0,2415136500.0
1374,2025-11-19 14:52:33,2999999900,1,2999999900.0,2999999900.0,2999999900.0,0.0,0.0,2999999900.0
1376,2025-11-19 14:52:33,6658800,2,6658800.0,6658800.0,6658800.0,0.0,0.0,6658800.0
1378,2025-11-19 14:52:33,14719905600,1,14719905600.0,14719905600.0,14719905600.0,0.0,0.0,14719905600.0
1380,2025-11-19 14:52:33,1928508100,1,1928508100.0,1928508100.0,1928508100.0,0.0,0.0,1928508100.0
1384,2025-11-19 14:52:33,374602800,1,374602800.0,374602800.0,374602800.0,0.0,0.0,374602800.0
1387,2025-11-19 14:52:33,10000000000,1,10000000000.0,10000000000.0,10000000000.0,0.0,0.0,10000000000.0
1389,2025-11-19 14:52:33,650000,3,650000.0,650000.0,650000.0,0.0,0.0,650000.0
1391,2025-11-19 14:52:33,186048600,3,186048600.0,186048600.0,186048600.0,0.0,0.0,186048600.0
1394,2025-11-19 14:52:33,16439300,1,16439300.0,16439300.0,16439300.0,0.0,0.0,16439300.0
1396,2025-11-19 14:52:33,3592200,1,3592200.0,3592200.0,3592200.0,0.0,0.0,3592200.0
1405,2025-11-19 14:52:33,29999900,2,29999900.0,29999900.0,29999900.0,0.0,0.0,29999900.0
1411,2025-11-19 14:52:33,3126300,2,3126300.0,3126300.0,3126300.0,0.0,0.0,3126300.0
1412,2025-11-19 14:52:33,2083900,3,2083900.0,2083900.0,2083900.0,0.0,0.0,2083900.0
1413,2025-11-19 14:52:33,3097700,2,3097700.0,3097700.0,3097700.0,0.0,0.0,3097700.0
1414,2025-11-19 14:52:33,220000,3,220000.0,220000.0,220000.0,0.0,0.0,220000.0
1416,2025-11-19 14:52:33,1378200,4,1378200.0,1378200.0,1378200.0,0.0,0.0,1378200.0
1417,2025-11-19 14:52:33,3682800,4,3682800.0,3682800.0,3682800.0,0.0,0.0,3682800.0
1418,2025-11-19 14:52:33,3550600,2,3550600.0,3550600.0,3550600.0,0.0,0.0,3550600.0
1419,2025-11-19 14:52:33,330000,2,330000.0,330000.0,330000.0,0.0,0.0,330000.0
1420,2025-11-19 14:52:33,11754200,2,11754200.0,11754200.0,11754200.0,0.0,0.0,11754200.0
1422,2025-11-19 14:52:33,9394300,2,9394300.0,9394300.0,9394300.0,0.0,0.0,9394300.0
1425,2025-11-19 14:52:33,16062900,2,16062900.0,16062900.0,16062900.0,0.0,0.0,16062900.0
1429,2025-11-19 14:52:33,1549900,2,1549900.0,1549900.0,1549900.0,0.0,0.0,1549900.0
1431,2025-11-19 14:52:33,50100,1,50100.0,50100.0,50100.0,0.0,0.0,50100.0
1438,2025-11-19 14:52:33,118872900,1,118872900.0,118872900.0,118872900.0,0.0,0.0,118872900.0
1440,2025-11-19 14:52:33,150319200,1,150319200.0,150319200.0,150319200.0,0.0,0.0,150319200.0
1443,2025-11-19 14:52:33,222221700,1,222221700.0,222221700.0,222221700.0,0.0,0.0,222221700.0
1445,2025-11-19 14:52:33,178772400,3,178772400.0,178772400.0,178772400.0,0.0,0.0,178772400.0
1446,2025-11-19 14:52:33,72842000,5,72842000.0,72842000.0,72842000.0,0.0,0.0,72842000.0
1447,2025-11-19 14:52:33,9999900,2,9999900.0,9999900.0,9999900.0,0.0,0.0,9999900.0
1448,2025-11-19 14:52:33,43135000,3,43135000.0,43135000.0,43135000.0,0.0,0.0,43135000.0
1454,2025-11-19 14:52:33,1000007100,3,1000007100.0,1000007100.0,1000007100.0,0.0,0.0,1000007100.0
1455,2025-11-19 14:52:33,501043600,1,501043600.0,501043600.0,501043600.0,0.0,0.0,501043600.0
1458,2025-11-19 14:52:33,349999900,3,349999900.0,349999900.0,349999900.0,0.0,0.0,349999900.0
1460,2025-11-19 14:52:33,16215766100,1,16215766100.0,16215766100.0,16215766100.0,0.0,0.0,16215766100.0
1461,2025-11-19 14:52:33,79999900,5,79999900.0,79999900.0,79999900.0,0.0,0.0,79999900.0
1465,2025-11-19 14:52:33,997500,10,997500.0,997500.0,997500.0,0.0,0.0,997500.0
1469,2025-11-19 14:52:33,494840500,2,494840500.0,494840500.0,494840500.0,0.0,0.0,494840500.0
1470,2025-11-19 14:52:33,1324100,3,1324100.0,1324100.0,1324100.0,0.0,0.0,1324100.0
1481,2025-11-19 14:52:33,1000009100,1,1000009100.0,1000009100.0,1000009100.0,0.0,0.0,1000009100.0
1483,2025-11-19 14:52:33,616016200,2,616016200.0,616016200.0,616016200.0,0.0,0.0,616016200.0
1484,2025-11-19 14:52:33,80005300,3,80005300.0,80005300.0,80005300.0,0.0,0.0,80005300.0
1486,2025-11-19 14:52:33,25000000,3,25000000.0,25000000.0,25000000.0,0.0,0.0,25000000.0
1488,2025-11-19 14:52:33,500005400,3,500005400.0,500005400.0,500005400.0,0.0,0.0,500005400.0
1491,2025-11-19 14:52:33,1999999900,3,1999999900.0,1999999900.0,1999999900.0,0.0,0.0,1999999900.0
